Berger, Hans;Automating with STEP 7 in STL and SCL:programmable controllers SIMATIC S7-300/400;2012;9,7839E+12;Publicis Publishing;TJ223 .P76 .B468 2014;5;https://www.amazon.com/Automating-STEP-STL-SCL-Programmable/dp/3895784125/ref=sr_1_1?ie=UTF8&qid=1524243547&sr=8-1&keywords=Automating+with+STEP+7+in+STL+and+SCL%3Aprogrammable+controllers+SIMATIC+S7-300%2F400
Berger, Hans;Automating with STEP 7 in LAD and FBD:SIMATIC S7-300/400 programmable controllers;2012;9,7839E+12;Publicis Publishing;TJ223.P76   .B468 2012;15;https://www.amazon.com/Automating-STEP-LAD-FBD-Programmable/dp/3895784109/ref=sr_1_1?ie=UTF8&qid=1524243625&sr=8-1&keywords=Automating+with+STEP+7+in+LAD+and+FBD%3ASIMATIC+S7-300%2F400+programmable+controllers
Berger, Hans;Automating with SIMATIG:controllers, software, programming, data communication, operator control and process monitoring;2013;9783895783876, 9783895786761;Publicis Publishing;TJ223.P76   .B46798 2013;11;https://www.amazon.com/Automating-SIMATIC-Controllers-Software-Programming/dp/3895783870/ref=sr_1_fkmr0_1?ie=UTF8&qid=1524243680&sr=8-1-fkmr0&keywords=Automating+with+SIMATIG%3A+controllers%2C+software%2C+programming%2C+data+communication%2C+operator+control+and+process+monitoring
Post, Scott;Applied and computational fluid mechanics;2011;9,78193E+12;Jones and Bartlett Publishers;TA357    .P4865 2011;6;https://www.amazon.com/Applied-Computational-Fluid-Mechanics-Engineering/dp/1934015474/ref=sr_1_1?ie=UTF8&qid=1524243834&sr=8-1&keywords=Applied+and+computational+fluid+mechanics
;Analog design and simulation using OrCAD Capture and PSpice;2012;9780080970950 (electronic bk.), 0080970958 (electronic bk.);Newnes / Elsevier;TK7874 .F58 2012eb;14;https://www.amazon.com/Analog-Design-Simulation-Capture-PSpice/dp/0080970958/ref=sr_1_1?ie=UTF8&qid=1524243986&sr=8-1&keywords=Analog+design+and+simulation+using+OrCAD+Capture+and+PSpice
Harel, David;Algorithmics:the spirit of computing;2004;9,78032E+12;Addison-Wesley;QA 76  .H2833 1987;12;https://www.amazon.com/Algorithmics-Spirit-Computing-David-Harel/dp/3642272657/ref=sr_1_1?ie=UTF8&qid=1524244022&sr=8-1&keywords=Algorithmics%3Athe+spirit+of+computing
Yevick, David;A first course in computational physics and object-oriented programming with C++;2005;9,78052E+12;Cambridge University Press;QA76.73.C153 .Y48 2005;12;https://www.amazon.com/Computational-Physics-Object-Oriented-Programming-Hardback/dp/0521827787/ref=sr_1_1?ie=UTF8&qid=1524244097&sr=8-1&keywords=A+first+course+in+computational+physics+and+object-oriented+programming+with+C%2B%2B
;Advances in electrical engineering and computational science;2009;9789048123100, 9789048123117;Springer;TK5 .W655 2008;4;
Garrett, Patrick H.;Advanced instrumentation and computer I/O design:real-time system computer interface engineering;1994;9780780360136, 0780360133;IEEE Press;TK7887.5 .G368 1994;7;
Garrett, Patrick H.;Advanced instrumentation and computer I/O design:real-time system computer interface engineering;1994;9,78047E+12;IEEE Press; ;13;
Sterling, Thomas;Beowulf cluster computing with Linux;2003;9,78026E+12;MIT Press; ;12;
Gardener, Mark;Beginning R:the statistical programming language;2012;9781118264126 , 9781118164303, 9781118164303, 9781118226162 , 9781118239377 ;John Wiley & Sons , Inc.;QA276.45.R3  .G37 2012;20;
;CUDA application design and development;2012;9780123884268 (electronic bk.), 0123884268 (electronic bk.), 9780123884329 (electronic bk.), 0123884322 (electronic bk.);Morgan Kaufmann;QA76.76.A65 F37 2012;1;
Laakmann McDowell, Gayle;Cracking the coding interview:189 programming interview questions and solutions;2015;9,78098E+12;CareerCup;QA76.6 .M34 2015;5;
Dale, Nell;C plus data structures;2013;9,78145E+12;Jones;QA76.73.C153 D334 2003;20;
Fuhrer, Claus;Computing with Python:an introduction to Python for science and engineering;2011;9,78027E+12;Pearson Education Limited;QA76.73.P98 .F84 2013;7;
Gittleman, Art;Computing with C# and the .Net Framework;2012;9781449615505, 1449615503;Jones & Bartlett Learning;QA76.73.C154  G58 2012  ;5;
Brookshear, J. Glenn;Computer science:an overview;2009;9780321544285, 0321544285;Pearson Education, Inc.;QA37.3 .B76 2009;10;
Abdel-Magid, Isam Mohammed;Computer modeling applications for environmental engineers;2017;9,7815E+12;CRC Press;TD192 .A23 2017;2;
